"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 09:14:44 GMT 2024","Mon Aug 05 09:14:48 GMT 2024","3932","firefox","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
"skipped","Mon Aug 05 09:14:54 GMT 2024","Mon Aug 05 09:14:54 GMT 2024","1","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"passed","Mon Aug 05 09:13:55 GMT 2024","Mon Aug 05 09:14:06 GMT 2024","10858","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"passed","Mon Aug 05 09:13:33 GMT 2024","Mon Aug 05 09:13:39 GMT 2024","6427","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"passed","Mon Aug 05 09:15:31 GMT 2024","Mon Aug 05 09:15:40 GMT 2024","8706","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка что кнопка логина существует",""
"passed","Mon Aug 05 09:14:14 GMT 2024","Mon Aug 05 09:14:22 GMT 2024","8014","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"passed","Mon Aug 05 09:13:03 GMT 2024","Mon Aug 05 09:13:09 GMT 2024","6150","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"passed","Mon Aug 05 09:15:50 GMT 2024","Mon Aug 05 09:16:00 GMT 2024","10146","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"passed","Mon Aug 05 09:15:21 GMT 2024","Mon Aug 05 09:15:31 GMT 2024","10360","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"passed","Mon Aug 05 09:14:55 GMT 2024","Mon Aug 05 09:15:11 GMT 2024","16049","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"passed","Mon Aug 05 09:16:30 GMT 2024","Mon Aug 05 09:16:38 GMT 2024","7433","webkit","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
"passed","Mon Aug 05 09:14:06 GMT 2024","Mon Aug 05 09:14:14 GMT 2024","8181","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"passed","Mon Aug 05 09:14:25 GMT 2024","Mon Aug 05 09:14:30 GMT 2024","4572","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"skipped","Mon Aug 05 09:12:49 GMT 2024","Mon Aug 05 09:12:49 GMT 2024","2","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"failed","Mon Aug 05 09:15:58 GMT 2024","Mon Aug 05 09:16:07 GMT 2024","8982","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"passed","Mon Aug 05 09:16:02 GMT 2024","Mon Aug 05 09:16:10 GMT 2024","7707","webkit","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
"failed","Mon Aug 05 09:14:38 GMT 2024","Mon Aug 05 09:14:38 GMT 2024","51","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"passed","Mon Aug 05 09:16:16 GMT 2024","Mon Aug 05 09:16:23 GMT 2024","7446","webkit","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
"passed","Mon Aug 05 09:13:48 GMT 2024","Mon Aug 05 09:13:54 GMT 2024","5961","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
"passed","Mon Aug 05 09:13:48 GMT 2024","Mon Aug 05 09:13:54 GMT 2024","6115","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Mon Aug 05 09:14:40 GMT 2024","Mon Aug 05 09:14:44 GMT 2024","4612","firefox","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"failed","Mon Aug 05 09:13:30 GMT 2024","Mon Aug 05 09:13:30 GMT 2024","33","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"passed","Mon Aug 05 09:14:47 GMT 2024","Mon Aug 05 09:14:51 GMT 2024","3790","firefox","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Designing Evolvable Web APIs with ASP.NET",""
"passed","Mon Aug 05 09:14:30 GMT 2024","Mon Aug 05 09:14:36 GMT 2024","5964","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"skipped","Mon Aug 05 09:13:54 GMT 2024","Mon Aug 05 09:13:54 GMT 2024","0","firefox","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"failed","Mon Aug 05 09:16:01 GMT 2024","Mon Aug 05 09:16:01 GMT 2024","35","webkit","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"failed","Mon Aug 05 09:13:21 GMT 2024","Mon Aug 05 09:13:32 GMT 2024","11255","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация сломанный вариант",""
"passed","Mon Aug 05 09:13:42 GMT 2024","Mon Aug 05 09:13:48 GMT 2024","6263","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Eloquent JavaScript, Second Edition",""
"passed","Mon Aug 05 09:14:51 GMT 2024","Mon Aug 05 09:14:54 GMT 2024","3165","firefox","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Mon Aug 05 09:16:08 GMT 2024","Mon Aug 05 09:16:16 GMT 2024","7787","webkit","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"passed","Mon Aug 05 09:14:43 GMT 2024","Mon Aug 05 09:14:47 GMT 2024","3674","firefox","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
"passed","Mon Aug 05 09:13:31 GMT 2024","Mon Aug 05 09:13:36 GMT 2024","5109","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
"passed","Mon Aug 05 09:12:57 GMT 2024","Mon Aug 05 09:13:03 GMT 2024","6081","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"passed","Mon Aug 05 09:16:10 GMT 2024","Mon Aug 05 09:16:17 GMT 2024","7281","webkit","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
